#,穴位,痛症,炎症,攣痺,血症,熱症,情志,耳症,其他
1,少澤,1,1,0,1,1,1,0,利咽通乳開竅: 頭痛、乳痛、咽炎、結膜炎、乳線炎、腦血管病、熱病、中風昏迷、精神分裂症、 乳少、白內障
2,前谷,1,1,1,0,1,0,0,利頭目安神:  前臂神經痛、腮腺炎、扁桃體炎、手指麻木、熱病、小便赤
3,後溪、後溪,1,1,1,1,0,1,1,清心安神: 頭痛、落枕、肩臂痛、腰痛、急性腰扭傷、角膜炎、虐疾、面肌痙攣、鼻出血、癲癇、癔病、耳聾耳鳴、
4,腕骨,1,1,0,1,0,0,1,去濕增液、止渴退黃: 頭痛、腕肘指尖關節炎、虐疾、糖尿病、黃疸、耳鳴、嘔吐、消渴、
5,陽谷,1,1,0,0,1,1,1,明目安神: 尺神經痛、腮腺炎、口腔炎、牙齦炎、熱病、精神分裂症、癲癇、目眩、耳聾耳鳴、
6,養老,1,0,0,1,0,0,0,清腦明目: 頭痛、落枕、急性腰扭傷、腦血管病後遺症、近視
7,支正,1,1,0,0,1,1,0,清熱安神: 神經性頭痛、十二指腸潰瘍、麥粒腫(眼挑針)、熱病、神經衰弱、癲癇、
8,小海,1,1,0,1,0,1,0,清熱安神: 頭痛、網球肘、牙齦炎、頸淋巴結核、貧血、癲癇、舞蹈病、
9,肩貞,1,1,0,1,0,0,1,清頭聰耳: 頭痛、肩關節周圍炎、腦血管病後遺症、耳聾耳鳴、
10,天宗,1,1,0,0,0,0,0,舒筋消腫: 乳痛、肩周炎、乳線炎、肩背軟組織損傷、美體健胸、乳少、氣喘
11,臑俞,0,1,0,1,0,0,0,舒筋消腫化痰: 肩周炎、頸淋巴結核、腦血管病後遺症、
12,秉風,1,1,0,0,0,0,0,散風化痰: 肩胛神經痛、肩周炎、崗上肌腱炎、支氣管炎、
13,曲垣,0,1,0,0,0,0,0,疏風止痛: 肩關節軟組織損傷、肩周炎、崗上肌腱炎、呼吸困難
14,肩外俞,1,1,1,1,0,1,0,疏風止痛: 頸椎痛、肩胛神經痛、胸膜炎、肺炎、痙攣、麻痺、低血壓、神經衰弱、
15,肩中俞,1,1,0,1,0,0,0,解表宜肺: 肩背痛、支氣管炎、支氣管擴張、吐血、咳嗽、哮喘、視力減退、
16,天窗,1,1,1,0,1,1,1,熄風利咽聰耳: 肋間神經痛、咽喉炎、肩周炎、甲狀腺腫、面神經痲痺、暴暗、耳聾耳鳴、  失語、
17,天容,1,1,0,1,0,1,1,利咽消腫: 頸項扭傷、咽喉炎、扁桃體炎、胸膜炎、牙齦炎、甲狀腺腫、哮喘、 癔病、耳聾耳鳴、
18,顴髎,1,1,1,0,0,0,0,怯風鎮痙消腫: 牙痛、鼻炎、鼻竇炎、面神經痲痺、面肌痙攣、口眼喎邪、眼瞼口動
19,聽宮,1,1,1,0,0,1,1  ,聰耳開竅: 齒痛、中耳炎、外耳道炎、牙關不利、失語、耳聾耳鳴、
