#,穴位,痛症,炎症,攣痺,熱症,情志,男女科,氣管病,其他
1,隱白,0,1,0,0,1,0,0,調經統血健脾: 腹膜炎、急性腸胃炎、功能性子宮出血、牙齦出血、鼻血、尿血、便血、消化道出血、小兒驚風、昏厥、癲癇、惡夢、多夢、
2,大都,1,1,1,1,0,0,0,瀉熱止痛健脾: 腹痛、足指痛、胃炎、急慢性腸炎、胃痙攣、熱病、腹脹
3,太白,1,1,1,1,0,0,0,健脾:清熱化濕: 腰痛、下肢痺痛、胃炎、腸炎、胃痙攣、痔瘡、濕疹、
4,公孫、公孫,0,1,0,0,0,1,0,健脾胃: 慢性胃腸炎、子宮內膜炎、月經不調、嘔吐、消化不良、胸悶
5,商邱,1,1,0,1,1,0,1,健脾胃化濕: 踝關節軟組織痛、胃炎、腸炎、舌強、痔瘡、小兒驚風、百日咳、黃疸、腳氣、水腫、
6,三陰交,1,1,0,0,1,1,0,健脾胃、調肝腎、經帶:  痛經、急慢性腸炎、肝炎、腎炎、膽囊炎、陰道炎、泌尿系感染、糖尿病、失眠、月經不調、帶下、遺尿、
7,漏谷,1,1,1,0,0,0,0,健脾化濕: 肩胛痛、急慢性腸炎、腸鳴、泌尿系感染、下肢痿痺、消化不良、
8,地機,1,1,1,0,0,1,0,健脾化濕、調經止帶: 痛經、腰痛、乳線炎、陰道炎、下肢痿痺、月經不調、遺精、
9,陰陵泉,1,1,0,0,0,1,0,健脾化濕、調經益腎: 痛經、膝痛、腎炎、遺精、遺尿、排便、水腫、黃疸、消化不良、
10,血海,1,1,0,1,0,1,0,健脾化濕、調經統血: 股內側痛、子宮內膜炎、功能性子宮出血、丹毒、月經不調、濕疹、蕁麻疹、
11,箕門,1,1,0,0,0,0,0,健脾化濕、通下焦: 下肢痿痺、股內側痛、睪丸炎、腹股溝淋巴結炎、遺尿、尿豬溜、遺精、陰囊濕疹、
12,冲門,0,1,1,0,0,1,0,健脾化濕、解痙: 乳線炎、子宮內膜炎、胃腸痙攣、尿豬溜、崩漏、帶下
13,府舍,1,1,0,0,0,1,0,健脾散結止痛: 腹痛、腸炎、闌尾炎、腹股溝淋巴結炎、附件炎、脾腫、小腸氣、
14,腹結,1,1,0,0,0,1,0,健脾降逆: 繞臍腹痛、支氣管炎、腸炎、痢疾、小腸氣、
15,大橫,0,1,1,0,0,0,0,健脾胃、大腸病: 腸炎、腸痲痺、四肢痙攣、流行性感冒、久痢疾、習慣性便秘
16,腹哀,1,1,1,0,0,0,0,健脾胃: 繞臍腹痛、痢疾、胃潰瘍、胃痙攣、消化不良、
17,食竇,1,1,0,0,0,0,1,宜肺平喘、利水消腫: 肋間神經痛、氣管炎、胸膜炎、肺炎、肝炎、反胃
18,天溪,1,1,0,0,0,1,1,止咳通乳: 乳痛、肋間神經痛、支氣管炎、肺炎、哮喘、咳嗽氣逆、乳少
19,胸鄉,0,1,0,0,0,0,1,宜肺止咳、止痛: 肺炎、支氣管哮喘、咳嗽氣逆
20,周榮,0,1,0,0,0,0,0,宜肺平喘、化痰: 支氣管炎、胸膜炎、肺炎、
21,大包,1,1,0,0,1,0,1,止咳平喘、止痛: 肋間神經痛、全身痛無力、胸膜炎、心內膜炎、哮喘、睡眠安穩、
