_id,#,穴位,頭痛,痛症,炎症,攣痺,血症,熱症,耳症,情志,其他,經絡
54S65sbHxGDu9jHY9,8,率谷,1,1,1,1,0,1,0,1,平肝熄風: 偏頭痛、三义神經痛、頂骨部痛、胃炎、面神經痲痺、小兒高熱惊風、眩暈、嘔吐,足少陽膽經a
6MX3rFSnLNLnfiqZv,7,曲鬢,1,1,0,1,1,0,0,1,清熱止痛: 偏頭痛、三义神經痛、牙痛、面神經痲痺、牙關緊閉、視網膜出血、小兒惊風,足少陽膽經a
7gNuLkKGiMKJda2po,1,童子髎,1,0,0,0,0,0,0,0,平肝熄風明目: 頭痛、角膜炎、視網膜炎、視神經萎縮、青少年近視眼、白內障、青光眼、夜盲、迎風流淚、,足少陽膽經a
B6xnmET2xcaWou9iB,20,風池,0,1,1,1,1,1,1,1,平肝熄風: 項強、鼻炎、電光性眼炎、視神經萎縮、腦動脈硬化、視網膜出血、高血壓、 感冒、耳聾耳鳴、眩暈、失眠、鼻塞、近視,足少陽膽經a
GsdGNRHXCpNqywAFA,17,正營,1,1,0,1,0,0,0,1,疏風止痛: 頭痛、牙痛、項強、視神經萎縮、眩暈、嘔吐、,足少陽膽經a
HDmDb2YpphppZ5hFi,22,淵液,1,1,1,0,0,0,0,0,寬胸消腫止痛: 臂痛不舉、肋間神經痛、胸膜炎、腋下腫、肌胸痙攣、,足少陽膽經a
JzxuHQufvsAvFCaJ2,11,頭竅陰,1,1,1,1,0,0,1,1,平肝止痛、聰耳:  頭痛、三义神經痛、胸痛、腦膜炎、喉炎、甲狀腺腫、支氣管炎、四肢痙攣、腦血管病、耳聾耳鳴、眩暈、,足少陽膽經a
N8pMXeaDZq3C9MCDs,12,完骨,1,1,1,1,0,0,0,1,清熱散風寧神:  頭痛、牙痛、中耳炎、牙齦炎、腮腺炎、扁桃體炎、面神經痲痺、口唇肌肉萎縮、癲癇、失眠、失語,足少陽膽經a
R9xnzWHe5oRLHPBhQ,13,本神,1,1,0,0,1,0,0,1,怯風定驚安神止痛:  神經性頭痛、胸痛、腦血管病後遺症、癲癇、失眠,足少陽膽經a
Ssc2hZDXy8WQ9EuSY,6,懸釐,1,1,0,0,0,0,1,1,清熱散風: 偏頭痛、三义神經痛、結膜炎、鼻炎、耳鳴、神經衰弱、善嚏,足少陽膽經a
YvJwzLSTcrRunCNs2,16,目窗,1,1,1,0,0,0,0,0,怯風定驚明目: 神經性頭痛、牙痛、鼻炎、結膜炎、感冒、眩暈、視力減退、,足少陽膽經a
bSjrttbsYveWweeXg,15,頭臨泣,1,1,1,0,0,0,1,0,聰耳明目安神:  頭痛、鼻炎、急慢性結膜炎、鼻淵、小兒高熱惊風、角膜白斑、,足少陽膽經a
cA4zEaKeiX3zoxvAt,10,浮白,1,1,1,0,1,0,1,0,散風止痛: 頭痛、牙痛、甲狀腺腫、支氣管炎、扁桃體炎、腦血管病後遺症、耳聾耳鳴、,足少陽膽經a
eZc4sw9FxcMfbwkWq,4,頷厭,1,1,1,0,0,0,1,1,清熱散風、止痛:  偏頭痛、三义神經痛、牙痛、結膜炎、耳鳴、眩暈、癲癇,足少陽膽經a
g2uTsFZZm4T2436wA,14,陽白,0,1,0,1,0,0,0,0,怯風清熱明目:  眶上神經痛、面神經痲痺、面肌痙攣、眼科病、眼臉下垂、,足少陽膽經a
gEz2zZK8Ggm67McDv,21,肩井,1,1,1,1,0,1,0,1,怯風清熱消腫:  肩背臂痛不舉、落枕、頸淋巴結核、乳線炎、副神經痲痺、高血壓、功能性子宮出血、神經衰弱、難產、,足少陽膽經a
ikkuT738k8B6fBCi6,9,天冲,1,1,1,0,0,0,1,1,熄風定驚、清熱消腫:  頭痛、牙齦炎、甲狀腺腫、耳聾耳鳴、癲癇、善驚,足少陽膽經a
j8WGqnSwkjoAZiDPS,23,輒筋,1,1,1,0,0,1,0,0,平喘理氣止痛: 肋間神經痛、支氣管哮喘、胸膜炎、四肢痙攣抽搐、神經衰弱、嘔吐、,足少陽膽經a
kEqRGinNLywPa8DTe,5,懸顱,1,1,1,0,0,0,0,1,清熱散風、消腫: 偏頭痛、三义神經痛、牙痛、鼻炎、神經衰弱、,足少陽膽經a
knszJMQqSLuXXw5Wd,3,上關,1,1,1,1,0,0,1,1,聰耳鎮攣散風: 偏頭痛、牙痛、中耳炎、下頜關節炎、顳頷關節失調症 (牙骹)、面神經痲痺、面肌痙攣、耳聾耳鳴、眩暈、,足少陽膽經a
nzLEPZRPkrX3dSxno,18,承靈,1,1,0,0,1,1,0,1,散風清熱:  頭痛、鼻出血、感冒、發熱、鼻淵、眩暈、,足少陽膽經a
p23vHHMrE6BnuL9kb,19,腦空,1,1,0,0,1,1,1,1,散風清熱寧神:  頭痛、項強、鼻出血、感冒、耳鳴、眩暈、心悸、癲癇、精神病、哮喘、,足少陽膽經a
uqvJoddNRsicYzCpp,2,聽會,0,1,1,1,1,0,1,0,開竅聰耳:  牙痛、中耳炎、腮腺炎、面神經痲痺、咀嚼肌痙攣、牙關不利、腦血管病後遺症、暴聾、,足少陽膽經a
