_id,#,穴位,痛症,炎症,攣痺,情志,男女科,排泄,其他,經絡
6Mjw8DgtByz3nDZ9M,27,俞府,0,1,0,0,0,0,止咳降逆平喘:  支氣管炎、胸膜炎、哮喘、呼吸困難、神經性嘔吐、食慾不振、,足少陰腎經
8L55tiao5aaNPdhDW,12,大赫,1,1,0,0,1,0,調經止帶助陽:  陰部痛、睪丸炎、陽痿、遺精、早泄、月經不調、子宮脫垂、帶下,足少陰腎經
94LpE4hS9YHYKfRWy,10,陰谷,1,1,0,1,1,0,調經止痛: 陰莖痛、膝膕疼痛、腸炎、胃炎、外陰炎、陰道炎、泌尿系感染、崩漏、癲癇、陽痿、 遺精、,足少陰腎經
9LWDS3aH4fgEQsM2s,8,交信,0,1,0,0,1,1,調理二便調經: 腸炎、睪丸炎、泌尿系感染、痢疾、子宮脫垂、子宮收縮不全、月經不調、尿瀦溜、便秘,足少陰腎經
AZApD7A4npJ4XKBnL,2,然谷,1,1,0,1,1,1,滋陰益腎利濕: 咽喉炎、扁桃體炎、膀胱炎、睪丸炎、尿道炎、消渴、精神病、遺精、精液缺失、陰癢、月經不調、不孕、遺尿、,足少陰腎經
B9B735fcNsTNJyL7M,15,中注,1,1,0,0,1,1,調經止帶止痛: 腹痛、腰痛、結膜炎、卵巢炎、輸卵管炎、睪丸炎、月經不調、便秘、,足少陰腎經
BRC6vG5W8CCNsLon8,1,湧泉,1,1,0,1,0,1,蘇厥熄風平肝: 神經性頭痛、咽喉炎、腦溢血、足心熱、舌乾、昏厥、休克、暈車、失眠、癔病、癲癇、精神病、小兒驚風、便秘、,足少陰腎經
By5HmmaSN6jxJ9XXz,13,氣穴,1,1,0,0,1,0,調理冲任益腎: 陰莖痛、痛經、角膜炎、腎炎、泌尿系感染、陽痿、遺精、月經不調、不孕、腹潟、,足少陰腎經
CWF8GsYNwGfFpGSdB,18,石關,1,1,1,0,1,1,調氣血: 產後腰痛、痛經、腸炎、盆腔炎、胃痙攣、食道痙攣、眼結膜充血、便秘、不孕,足少陰腎經
GXqY7aT7b5sEr7sQH,4,大鍾,1,1,0,1,0,1,調理二便平喘: 咽痛、足跟痛、口腔炎、咳血、癔病、神經衰弱、痴呆、尿瀦溜、便秘、哮喘、咳喘、虐疾、,足少陰腎經
LXW7HTzsRrWy83NDc,14,四滿,1,0,0,0,0,1,調經利水消腫:  痛經、產後腹痛、婦產科系統病、遺精、月經不調、便秘、,足少陰腎經
