_id,#,穴位,痛症,炎症,攣痺,眼症,熱症,情志,氣管病,其他,經絡
3Emp94yACN9LWGJSD,19,膽俞,1,1,0,1,0,1,0,疏肝利膽化濕:  胸脇痛、肋間神經痛、胃炎、胃潰瘍、肝炎、膽囊炎、高血壓、潮熱、口苦、失眠、黃疸、嘔吐、食道狹窄、肺勞、,足太陽膀胱經
3kv5hBaLNYB8haWzy,44,*神堂,1,1,1,0,0,1,0,寧心安神: 肩臂痛、背強痛、肋間神經痛、心絞痛、支氣管炎、背肌痙攣、心悖、胭悶、哮喘、,足太陽膀胱經
6Zj3KR8H29ebqJWm9,39,委陽,1,1,1,0,0,0,0,舒筋利水化濕:  腰背痛、腿足攣痛、膝腫痛、胃炎、腰背肌痙攣、水腫、外膀胱經,足太陽膀胱經
6hAotGmY3ZTrzdwHs,6,承光,1,1,1,0,0,1,0,清熱怯風明目: 頭痛、鼻炎、鼻竇炎、角膜白斑、面神經痲痺、眩暈、鼻息肉、,足太陽膀胱經
6sfwp5p9zGqGgSDgk,7,通天,1,1,1,0,0,0,1,清熱怯風通鼻: 三义神經痛、鼻炎、鼻竇炎、支氣管炎、面神經痲痺、面肌痙攣、腦血管病後遺症、支氣管哮喘、嗅覺障礙、,足太陽膀胱經
6vknAdermCzkpMWAD,52,*志室,0,0,0,0,1,0,0,固精壯腰膝: 腰膝股痛、腎炎、前列線炎、尿道炎、膀胱炎、遺尿、尿頻、陽痿、月經不調、,足太陽膀胱經
7NFzFKotksvfbjGnP,4,曲差,1,1,1,0,0,1,0,清熱寧神: 頭痛、三义神經痛、結膜炎、鼻炎、鼻竇炎、眼臉痙攣、癲癇、眩暈、,足太陽膀胱經
7o7dZ5sR99eeynP7N,8,絡郄,1,1,1,1,0,1,0,清熱熄風寧神: 頭痛、鼻炎、面神經痲痺、精神病、抑鬱症、眩暈、耳鳴、近視眼、,足太陽膀胱經
8q2SfX8agFJ9Tkrhy,41,*附分,1,1,1,0,0,0,0,舒筋疏風散邪: 頸項痛、肋間神經痛、肺炎、頸部肌肉痙攣、肘臂麻木、副神經麻痺、感冒,足太陽膀胱經
AY9sy9BCETdfRXL9y,2,攢竹,1,1,1,1,0,0,0,清熱怯風明目: 頭痛、上眼神經痛、腰背肌痛、急性結膜炎、淚囊炎、面癱、面神經痲痺、眼臉口動、近視眼、視力減退、呃逆、,足太陽膀胱經
AfccThdewH6P7E4Ye,54,*秩邊,1,1,1,1,0,0,1,調下焦壯腰膝: 坐骨神經痛、急性腰扭傷、外陰腫痛、痔瘡、下肢癱瘓、腦血管病後遺症、生殖器症、,足太陽膀胱經
AkaC4orMnFk4Ewgrh,24,氣海俞,1,0,1,0,0,0,1,調經止痛:  痛經、坐骨神經痛、下肢癱瘓、陽痿、遺精、月經不調、氣喘、,足太陽膀胱經
Az9aCYqMxsMeNAf9Q,57,*承山,1,1,1,0,1,1,0,舒筋止痛;  痛經、腰肌勞損、腰痛轉筋、坐骨神經痛、痔瘡、下肢癱瘓、腓腸肌痙攣、小兒驚風、脫肛、腳氣,足太陽膀胱經
DAdeHwPE6GSrKLnER,33,中髎,1,1,0,0,0,0,1,補下焦、強腰利濕:  坐骨神經痛、腰痛、子宮內膜炎、盆腔炎、卵巢炎、膝關節炎、月經不調,足太陽膀胱經
DervKeY5NgkKpRX6i,5,五處,1,1,1,1,1,0,0,清熱怯風明目鎮攣: 頭痛、三义神經痛、鼻炎、面神經痲痺、鼻血、感冒、鼻息肉、視力減退、,足太陽膀胱經
EMkhJifwgRY5XMP9K,21,胃俞,0,1,1,1,0,1,0,和胃降逆止痛:  腮腺炎、胃炎、胃潰瘍、肝炎、腸炎、痢疾、胃痙攣、糖尿病、失眠、胃擴張、胃下垂、反胃、消化不良、,足太陽膀胱經
EsApeMZoSFiyaDEox,62,*申脈,1,1,1,1,0,1,0,平肝止痛、壯腰安眠;  頭痛、腰肌勞損、踝關節扭傷、關節炎、下肢癱瘓、腦血管病後遺症、癲癇、眩暈、失眠、,足太陽膀胱經
FHqA4NKRPvxqvbdb8,25,大腸俞,1,1,0,0,1,0,0,調腸胃降逆:  腰痛、腸炎、腎炎、骶髂關節炎、骶棘肌關節炎、闌尾炎、痢疾、遺尿、便秘、淋病、小兒消化不良、腸鳴,足太陽膀胱經
GArYB4BqMXCcBboQk,46,*膈關,1,1,0,1,0,0,0,和胃降逆:  肋間神經痛、腸炎、胃出血、嘔吐、呃逆、飲食不下、,足太陽膀胱經
GGLw2hfN5FAXiXMeZ,66,*足通谷,1,1,0,0,0,1,0,安神清頭明目:  頭痛、頸椎病、慢性胃炎、癲癇、精神病、哮喘、,足太陽膀胱經
