_id,#,穴位,痛症,炎症,攣痺,排泄,情志,男女科,氣管病,其他,經絡
246mvzkuEnsDdpb86,2,腰俞,1,1,1,1,0,1,0,清熱散寒除濕:  腰脊痛、腰骶神經痛、過敏性結腸炎、下肢痿痺、足冷麻木、尿血、痔瘡、脫肛、便秘、月經不調、,督脈
24Zn5DLWw4WDkYvGL,15,啞門,1,0,1,0,0,1,0,散風熄風開竅:  頸項強、脊強反折、腦癱瘓、舌強不語、癲癇、,督脈
5MiapnCjrQz5QF6if,9,至陽,1,1,0,0,0,0,1,利膽利膈退黃:   胸脇脹痛、腰背痛、脊強、膽囊炎、胃腸炎、黃疽、氣喘、,督脈
63b8ecej7DcpkXksK,5,懸樞,1,1,0,1,0,0,0,助陽健脾通腸氣:  腰脊強痛、胃腸神經痛、腹痛、胃下垂、腸炎、泄瀉、腸鳴、,督脈
6xSjwgTsHJoC9phG2,21,前頂,1,0,0,1,0,1,1,熄風醒腦寧神:  頭頂痛、鼻炎、高血壓、腦血管病後遺症、眩暈、目眩、小兒驚風、水腫、,督脈
8Xbbw49RAKoZJhWK9,26,水溝,1,0,0,1,0,1,0,鎮驚強腰止痛: 心膜絞痛、急性腰扭傷、腦血管病昏迷、低血壓、小兒驚風、癔病、休克、暈厥、  窒息、水腫、,督脈
8hkeKRkk6mqYe6uir,22,顖會,1,1,0,0,0,1,1,清熱消腫:  頭皮腫痛、鼻炎、鼻竇炎、鼻息肉、鼻痈、頭暈目眩、,督脈
CFjFwhGZkFuofcniN,1,長強,1,1,0,1,1,0,0,解痙止痛通淋:  尾骶骨痛、便血、泄瀉、脫肛、大小便難、痔瘡、癲癇、陰部濕痒、,督脈
GYyjPMBsRT3CMk7K2,24,神庭,1,1,0,0,0,1,1,醒腦寧神平喘: 目赤腫痛、過敏性鼻竇炎、鼻竇炎、頭暈目眩、驚悸、失眠、流淚、目翳、,督脈
JXonqWz2jCiaxj9an,17,腦戶,1,1,0,0,1,1,0,平肝熄風開竅:  頭痛、視神經炎、甲狀腺腫、眩暈、面赤、目黃、,督脈
KsNMKjeJjjvZ7Jehb,10,靈臺,1,1,0,0,0,0,1,清熱除濕、止咳定喘:  背痛、項強、支氣管炎、肺炎、胃炎、虐疾、疔瘡、氣喘、咳嗽、,督脈
M48rPNRqEG6RnwPeE,19,後頂,1,0,1,0,0,1,0,熄風醒神止痒:  頭痛、偏頭痛、神經性頭痛、項強、肩頸部肌肉痙攣、眩暈、癔病、精神分裂症、癇症、,督脈
PgegLwAKwkizFf9pN,11,神道,0,0,0,0,1,0,1,清熱定喘、寧心安神:  肋間神經痛、肩背痛、增生性脊椎炎、虐疾、哮喘、心驚、心悸、 健忘、神經衰弱、心臟神經官能症、小兒風癩,督脈
QCeQkDHS7PpbC4SWP,18,強間,1,1,0,0,0,1,0,平肝熄風醒神:  神經性頭痛、血管性頭痛、頸項強、神經性頭痛、腦膜炎、心悸、心煩、癔病、失眠、,督脈
TtLdDGTky7uYPrjqz,4,命門,1,1,0,1,0,1,0,補腎壯陽:  虛損腰痛、胃下垂、泄瀉、遺尿、陽痿、遺精、早泄、帶下、月經不調、習慣性流產、 汗不出、,督脈
XeD6t4iJcdEZrzdgE,27,兌端,1,1,1,0,1,1,1,怯風消腫止痛:  牙痛、口瘡、鼻塞、口噤、昏迷、暈厥、消渴、臭穢,督脈
Yit6go3GtLFTyRbfB,23,上星,1,1,0,0,1,0,1,熄風清熱通鼻:  頭痛、目赤腫痛、額竇炎、過敏性鼻竇炎、鼻竇炎、鼻息肉、鼻痈、熱病無汗、   迎風流淚、角膜白斑、,督脈
iWTg6RB4bAn49Zkra,14,大椎,1,1,1,0,1,0,1,清熱熄風定喘:  頸項強、虐疾、風疹、小兒驚風、氣喘、咳嗽、黃疽、,督脈
jGAgrxXvKkKQyWZEt,6,脊中,0,0,0,0,1,0,0,寧神鎮靜: 胃朊痛、腰脊強痛、肝炎、增生性脊椎炎、腹瀉、脫肛、癲癇、感冒、黃疽、小兒疳積、胃腸功能紊亂、腹滿、,督脈
jRyEt8aowSJdKwXGK,25,素髎,0,1,0,0,0,1,1,清熱消腫通鼻:  過敏性鼻竇炎、鼻息肉、酒糟鼻、鼻塞、驚厥、昏迷、,督脈
jfswWpGmaYfss7kN3,16,風府,1,0,1,0,1,1,0,散風熄風開竅:  神經性頭痛、頭痛、頸項部痛、咽喉腫痛、中風、眩暈、癔病、感冒、失音、,督脈
kMtKcjrQRZAzZqvTv,7,中樞,1,1,1,0,0,0,0,清熱除濕止痛:  腰背神經痛、胃痛、感冒、黃疽、食慾不佳、嘔吐、,督脈
mPcg6WFeD8kAGR8rN,20,百會,1,0,0,1,0,1,0,熄風開陽固脫:  頭痛、高血壓、頭脹、眩暈、癔病、癇症、健忘、子宮下垂、泄瀉、脫肛、,督脈
