_id,#,穴位,痛症,炎症,攣痺,血症,熱症,其他,經絡
79gikMke6YyexRbBW,1,商陽,1,1,1,1,1,清熱蘇厥開竅: 牙痛、咽喉炎、腮腺炎、扁桃體炎、手指麻木、鼻血，昏迷、發熱無汗、胸悶、,手陽明大腸經
7X9fu92KJu5cPjroS,2,二間,1,1,0,0,1,清熱利咽: 牙痛、麥粒腫(眼挑針)、咽喉炎、扁桃體炎、肩周炎、熱病、,手陽明大腸經
7jgJXDwwidtLiDJ2j,3,三間,1,1,0,0,0,潟熱利咽止痛: 牙痛、三叉神經痛、手指腫痛、肩關節周圍炎、急性結膜炎、青光眼,手陽明大腸經
9Zji3Dkh2PPinW9EX,6,偏歷,1,1,1,1,0,清熱利尿: 頭痛、前臂神經痛、結膜炎、扁桃體炎、面神經痲痺、水腫、鼻血，耳聾耳鳴、,手陽明大腸經
BzCtFb3HdnxEyY4hm,17,天鼎,0,1,0,0,0,散結利咽: 喉炎、扁桃體炎、頸淋巴結核、甲狀腺腫、暴暗、,手陽明大腸經
Coh3LoFNLkw7MZ8aq,11,曲池,0,1,0,1,1,清熱降逆: 肩周炎、肘關節炎、肺炎、扁桃體炎、乳線炎、急性腦血管病後遺症、高血壓、 熱病、皮膚過敏、,手陽明大腸經
Fw6icKhGkdxGM4QPk,7,溫溜,1,1,1,0,0,清熱理氣: 頭痛、腹痛、扁桃體炎、口腔炎、腮腺炎、面神經痲痺、腸鳴、,手陽明大腸經
GJ2r4MPmFXhCuW3qG,14,臂臑,1,1,0,0,0,清熱明目: 頭痛、上肢麻痛、頸項攣急、肩周炎、頸淋巴結核、,手陽明大腸經
aM7B7HNKa7i2XGMEo,12,肘髎,0,1,1,0,0,舒筋活絡: 肩周炎、網球肘、肘關節炎、肘臂麻木、攣急、,手陽明大腸經
dhmuXYKitbcexLNGa,5,陽溪,1,1,1,0,0,散風利關節: 頭痛、手腕痛、鼻炎、角膜炎、結膜炎、扁桃體炎、面神經痲痺、耳聾耳鳴、,手陽明大腸經
iCPWzPmZopPgmhK5r,20,迎香,0,1,1,1,0,怯風通竅: 鼻炎、鼻竇炎、鼻血、鼻息肉、顏面神經麻痺、口喁、面腫、膽道迴蟲症、便秘、,手陽明大腸經
iJhQs6zwbhwhGezfq,10,手三裏,1,1,0,0,0,清熱明目、調理腸胃: 肩臂痛、腰痛、牙痛、口腔炎、腸炎、頰腫、腹潟、感冒,手陽明大腸經
m88gTwruHGZmeE3jA,15,肩髃,0,1,0,1,0,疏風散熱: 肩周炎、乳線炎、急性腦血管病後遺症、高血壓、風疹,手陽明大腸經
my5aGPryehKgvMtg5,19,口禾髎,0,1,1,1,0,怯風清熱: 腮腺炎、鼻炎、面神經痲痺、咀嚼肌痙攣、口喁、口噤、鼻血、鼻息肉、便秘、嗅覺減退、膽道迴蟲症、,手陽明大腸經
oYzKYGg6dnxpM4Arv,16,巨骨,1,1,0,0,0,通經治絡: 下牙痛、肩關節周圍炎、頸淋巴結核、高熱痙攣、吐血、胃出血,手陽明大腸經
uvqQ8hmgAkh7Hk5wW,9,上廉,1,1,1,1,0,調理腸胃: 腹痛、網球肘、肩周炎、手指麻木、腦血管病後遺症、腸鳴、,手陽明大腸經
vEEtaaydmX7EzXS4K,13,手五裏,1,1,0,1,0,散結活絡: 上肢麻痛、肋間神經痛、肺炎、扁桃體炎、胸膜炎、吐血、嗜睡、,手陽明大腸經
xbshgXLqzSMhxQf2B,18,扶突,0,1,1,0,1,清咽消腫: 咽喉炎、嘶啞、甲狀腺腫、急性舌骨肌痲痺、咳喘、低血壓、暴暗、唾液分泌異常、呃逆,手陽明大腸經
xm7TeZpSnducNQggJ,4,合谷,1,1,0,0,0,疏風解表止痛: 頭痛、腹痛、痛經、咽炎、便秘、汗症、痢疾、耳聾、五官病,手陽明大腸經
zj7BmEGD887q3dFyW,8,下廉,1,0,0,0,0,調理腸胃: 腹痛、網球肘、肘關節炎、,手陽明大腸經
