#,穴位,痛症,炎症,攣痺,血症,排泄,情志,男女科,其他
1,大敦,1,1,0,0,1,1,1,回陽通淋: 少腹痛、陰莖痛、精索神經痛、睪丸炎、功能性子宮出血、癲癇、月經不調、子宮脫垂、遺尿、
2,行間,1,1,0,0,1,1,1,平肝疏肝:  頭痛、痛經、胃脘脹痛、陰莖痛、功能性子宮出血、神經衰弱、癲癇、月經不調、子宮脫垂、小腸氣、遺尿、便秘、夜盲、消化不良
3,太冲,1,1,0,1,0,1,1,瀉熱利下焦: 頭痛、咽痛、目痛、腹痛、喉痺、高血壓、功能性子宮出血、眩暈、失眠多夢、郁症、腹脹、月經不調、
4,中封,1,1,0,0,1,0,1,清肝膽濕熱、疏肝:  陰莖痛、腹痛、腰足冷痛、踝關節扭傷、肝炎、泌尿系感染、小腸氣、遺精、尿閉、黃疸、腹脹、
5,蠡溝,1,0,0,1,1,0,1,舒肝調經止帶: 脊椎炎、子宮內膜炎、功能性子宮出血、月經不調、赤白帶下、小腸氣、外陰瘙痒、尿閉、心動過速
6,中都,1,1,1,1,1,0,1,舒肝調經止血: 腹痛、腸炎、肝炎、痢疾、膝關節炎、足軟無力、功能性子宮出血、小腸氣、腹脹、泄瀉、
7,膝關,1,1,1,0,0,0,0,散風怯濕、通關節: 膝痛、痛風、風濕、類風濕關節炎、下肢痿痺、臏骨軟化症、
8,曲泉,1,1,0,0,1,0,1,清濕熱、利下焦:  膝股內側痛、痛經、腎炎、前列線炎、痢疾、月經不調、陽痿、遺精、遺尿、泄瀉、
9,陰包,0,1,0,0,1,0,1,調經止痛、利尿通淋: 盆腔炎、月經不調、遺尿、小便不利
10,足五裏,1,0,0,0,1,0,0,清熱化濕、舒肝: 小腹痛、膝股內側痛、睪丸腫痛、遺尿、小便不利、 倦怠、胸悶氣短
11,陰廉,1,0,0,0,0,0,1,止帶、利下焦: 少腹疼痛、腿股痛、月經不調、陰腫、赤白帶下、陰部瘙痒、
12,急脈,0,0,0,0,0,0,1,疏肝利膽、利下焦: 陰腫、子宮脫垂、小腸氣、
13,章門、(脾),1,1,0,0,1,0,0,疏肝健脾、清濕熱: 腹痛、肝炎、肝脾腫大、腸炎、腹膜炎、煩熱氣短、腹脹、泄瀉、 吐瀉、黃疸、消化不良、小兒疳積、
14,期門,1,1,0,1,0,0,0,健脾疏肝、活血:  心絞痛、乳痛、肋間神經痛、心肌炎、肝炎、肝腫大、膽囊炎、腸炎、腹膜炎、高血壓、熱病、郁症、吐逆、
