#,穴位,痛症,炎症,攣痺,血症,情志,男女科,其他
24,日月,1,1,0,0,0,0,利膽疏肝和胃:  乳痛、急慢性結膜炎、胃潰瘍、十二指腸潰瘍、吞酸、嘔逆、黃疽、呃逆
25,京門、京門(腎),1,1,0,0,0,1,健脾化濕利水: 肋間神經痛、腰肌勞損、腎炎、腸炎、尿路結石、泄瀉、小腸氣、腸鳴、
26,帶脈,1,1,1,1,0,1,健脾化濕、調經止帶: 腰痛、內膜炎、附件炎、盆腔炎、陰道炎、膀胱炎、下肢無力、功能性子宮出血、月經不調、閉經、子宮脫垂、
27,五樞,1,1,0,0,0,0,調經止帶、調下焦: 腰痛、陰道炎、睪丸炎、子宮內膜炎、小腸氣、便秘、
28,維道,1,1,0,0,0,1,調理冲任、利水止痛: 髖關節疼痛、 腎炎、腸炎、闌尾炎、子宮內膜炎、附件炎、盆腔炎、子宮脫垂、小腸氣、習慣性便秘、
29,居髎,1,1,0,0,0,1,舒筋益腎: 胃痛、下腹痛、腰腿痛、腎炎、膀胱炎、闌尾炎、睪丸炎、子宮內膜炎、白帶多、月經不調、
30,環跳,1,1,1,1,0,0,怯風化濕、強腰膝: 腰腿痛、坐骨神經痛、風濕性關節炎、髖關節及周圍軟組織病、下肢痲痺、腦血管病後遺症、感冒、腳氣、
31,風市,1,1,1,0,1,0,怯風化濕: 頭痛、腰腿痛、坐骨神經痛、股外側皮神經炎、膝關節炎、下肢癱瘓、小兒痲痺後遺症、眩暈、全身瘙痒、腳氣、
32,中瀆,1,1,1,0,0,0,怯風散寒:  坐骨神經痛、膝關節炎、下肢痲痺、腓腸肌痙攣、
33,膝陽關,1,1,1,0,0,0,怯風化濕:、利關節: 坐骨神經痛、膝腫痛、膝關節炎、下肢癱瘓、小腿麻木、腦筋攣急、腳氣、
34,陽陵泉、陽陵泉,1,1,1,0,1,0,舒肝利膽健腰膝: 落枕、腰扭傷、踝扭傷、膝關節炎、肩周炎、肝炎、膽結石、下肢癱瘓、 小兒惊風、嘔吐、黃疸、口苦、
35,陽交,1,0,1,0,1,0,疏肝安神定志: 坐骨神經痛、腓淺神經痲痺、癲癇、精神病、
36,外邱,1,1,0,0,1,0,疏肝安神定志:  頸項痛、腓神經痛、踝關節及周圍軟組織病、癲癇、狂犬病毒
37,光明,1,1,1,0,0,1,疏肝明目消腫: 偏頭痛、目痛、乳痛、腰扭傷、膝關節炎、麥粒腫(眼挑針)、視神經萎縮、精神病、缺乳、夜盲、視不明、
38,陽輔,1,1,1,0,0,0,散風清熱: 偏頭痛、腰痛、坐骨神經痛、扁桃體炎、頸淋巴結核、頸淋巴結炎、膝關節炎、虐疾、下肢痲痺、半身不遂、
39,懸鐘,1,1,1,1,0,0,疏肝熄風益腎: 頭痛、落枕、頸項痛、腰扭傷、足徑痛、脊髓炎、踝關節及周圍軟組織病、痔瘡、下肢萎痺、腦血管病後遺症、便秘、
40,邱墟,1,1,1,0,0,0,健脾利濕、泄熱退黃:  頸項痛、肋間神經痛、坐骨神經痛、踝扭傷、膽囊炎、踝關節及周圍軟組織病、虐疾、腓腸肌痙攣、嘔吐、
41,足臨泣、足臨泣,1,1,1,0,1,1,疏肝熄風、化痰消腫: 頭痛、足跟痛、乳線炎、中風癱瘓、間歇熱、眩暈、月經不調、胎位不正、退乳
42,地五會,1,1,0,1,0,0,疏肝消腫:  腰肌勞損、足扭傷、乳線炎、結膜炎、肺結核、液淋巴結炎、吐血、
43,俠溪,1,1,1,1,0,0,疏肝熄風、消腫止痛: 偏頭痛、肋間神經痛、坐骨神經痛、乳線炎、下肢痲痺、高血壓、中風、耳鳴、
44,足竅陰,1,1,0,1,1,0,疏肝解郁:  神經性頭痛、肋間神經痛、足踝腫痛、結膜炎、胸膜炎、高血壓、 腦血管病後遺症、哮喘、多夢、神經衰弱、耳聾耳鳴、
