#,穴位,痛症,炎症,攣痺,情志,男女科,排泄,其他
1,湧泉,1,1,0,1,0,1,蘇厥熄風平肝: 神經性頭痛、咽喉炎、腦溢血、足心熱、舌乾、昏厥、休克、暈車、失眠、癔病、癲癇、精神病、小兒驚風、便秘、
2,然谷,1,1,0,1,1,1,滋陰益腎利濕: 咽喉炎、扁桃體炎、膀胱炎、睪丸炎、尿道炎、消渴、精神病、遺精、精液缺失、陰癢、月經不調、不孕、遺尿、
3,太溪,1,1,1,0,1,1,壯陽強腰益腎: 頭痛、齒痛、足跟痛、支氣管炎、慢性喉炎、口腔炎、肺氣腫、腎炎、膀胱炎、下肢癱瘓、陽痿、月經不調、耳鳴、遺尿、哮喘、
4,大鍾,1,1,0,1,0,1,調理二便平喘: 咽痛、足跟痛、口腔炎、咳血、癔病、神經衰弱、痴呆、尿瀦溜、便秘、哮喘、咳喘、虐疾、
5,水泉,0,0,0,0,1,1,利水通淋:  月經不調、痛經、子宮脫垂、閉經、經少、不孕、小便不利、目昏花、
6,照海,1,1,0,1,1,0,清熱調經止痛:  痛經、慢性咽喉炎、扁桃體炎、神經衰弱、癲癇、失眠、月經不調、
7,復溜,1,1,1,0,0,0,利水補腎: 腰肌勞損、脊椎炎、腹膜炎、睪丸炎、腎炎、泌尿系感染、足痿、小兒痲痺後遺症、功能性子宮出血、痔瘡、水腫、汗症、
8,交信,0,1,0,0,1,1,調理二便調經: 腸炎、睪丸炎、泌尿系感染、痢疾、子宮脫垂、子宮收縮不全、月經不調、尿瀦溜、便秘
9,築賓,1,1,1,1,1,0,調理下焦安神: 足脛痛、泌尿系感染、腓腸肌痙攣、癲癇、神經性嘔吐、小腸氣、
10,陰谷,1,1,0,1,1,0,調經止痛: 陰莖痛、膝膕疼痛、腸炎、胃炎、外陰炎、陰道炎、泌尿系感染、崩漏、癲癇、陽痿、 遺精、
11,橫骨,0,0,0,0,0,1,調理下焦助陽: 陰部痛、角膜炎、尿道炎、附件炎、盆腔炎、尿瀦溜、遺尿、陽痿、遺精、月經不調、閉經、
12,大赫,1,1,0,0,1,0,調經止帶助陽:  陰部痛、睪丸炎、陽痿、遺精、早泄、月經不調、子宮脫垂、帶下
13,氣穴,1,1,0,0,1,0,調理冲任益腎: 陰莖痛、痛經、角膜炎、腎炎、泌尿系感染、陽痿、遺精、月經不調、不孕、腹潟、
14,四滿,1,0,0,0,0,1,調經利水消腫:  痛經、產後腹痛、婦產科系統病、遺精、月經不調、便秘、
15,中注,1,1,0,0,1,1,調經止帶止痛: 腹痛、腰痛、結膜炎、卵巢炎、輸卵管炎、睪丸炎、月經不調、便秘、
16,肓俞,0,1,1,0,0,0,潤腸通便止痛:  角膜炎、腸炎、尿道炎、痢疾、腸痲痺、胃痙攣、習慣性便秘、
17,商曲,0,1,1,0,0,1,消腫止痛: 胃炎、痢疾、胃痙攣、胃下垂、便秘、
18,石關,1,1,1,0,1,1,調氣血: 產後腰痛、痛經、腸炎、盆腔炎、胃痙攣、食道痙攣、眼結膜充血、便秘、不孕
19,陰都,1,1,0,0,0,0,調理中焦: 胃痛、結膜炎、角膜白斑、支氣管炎、胸膜炎、肺氣腫、痢疾、哮喘、腸鳴、
20,腹通谷,0,0,0,0,0,0,健中焦安神: 肋間神經痛、慢性咽喉炎、急慢性胃炎、眼結膜充血、神經性嘔吐、胃擴張、哮喘、消化不良、
21,幽門,1,1,0,0,1,0,調理中焦、降逆止嘔:  乳線炎、慢性胃炎、胃潰瘍、神經性嘔吐、孕吐、缺乳、消化不良、
22,步廊,1,1,0,0,0,0,止咳平喘: 肋間神經痛、支氣管炎、鼻炎、胃炎、嗅覺減退、消化不良、
23,神封,1,1,0,0,1,0,降逆止嘔理肺: 乳痛、支氣管炎、乳線炎、肺炎、胸膜炎、哮喘、嘔吐、心動過速
24,靈墟,1,1,0,0,0,0,疏肝降肺氣:  乳痛、肋間神經痛、鼻炎、支氣管炎、乳線炎、胸膜炎、哮喘、嗅覺減退、食慾不振、
25,神藏,1,1,0,0,0,0,降逆平喘: 肋間神經痛、胸痛、支氣管炎、胸膜炎、感冒、支氣管哮喘、消化不良、呃逆
26,彧中,1,1,0,0,0,0,止咳化痰: 肋間神經痛、支氣管炎、胸膜炎、痰壅、食慾不振、呃逆
27,俞府,0,1,0,0,0,0,止咳降逆平喘:  支氣管炎、胸膜炎、哮喘、呼吸困難、神經性嘔吐、食慾不振、
