#,穴位,痛症,炎症,攣痺,血症,熱症,其他
1,商陽,1,1,1,1,1,清熱蘇厥開竅: 牙痛、咽喉炎、腮腺炎、扁桃體炎、手指麻木、鼻血，昏迷、發熱無汗、胸悶、
2,二間,1,1,0,0,1,清熱利咽: 牙痛、麥粒腫(眼挑針)、咽喉炎、扁桃體炎、肩周炎、熱病、
3,三間,1,1,0,0,0,潟熱利咽止痛: 牙痛、三叉神經痛、手指腫痛、肩關節周圍炎、急性結膜炎、青光眼
4,合谷,1,1,0,0,0,疏風解表止痛: 頭痛、腹痛、痛經、咽炎、便秘、汗症、痢疾、耳聾、五官病
5,陽溪,1,1,1,0,0,散風利關節: 頭痛、手腕痛、鼻炎、角膜炎、結膜炎、扁桃體炎、面神經痲痺、耳聾耳鳴、
6,偏歷,1,1,1,1,0,清熱利尿: 頭痛、前臂神經痛、結膜炎、扁桃體炎、面神經痲痺、水腫、鼻血，耳聾耳鳴、
7,溫溜,1,1,1,0,0,清熱理氣: 頭痛、腹痛、扁桃體炎、口腔炎、腮腺炎、面神經痲痺、腸鳴、
8,下廉,1,0,0,0,0,調理腸胃: 腹痛、網球肘、肘關節炎、
9,上廉,1,1,1,1,0,調理腸胃: 腹痛、網球肘、肩周炎、手指麻木、腦血管病後遺症、腸鳴、
10,手三裏,1,1,0,0,0,清熱明目、調理腸胃: 肩臂痛、腰痛、牙痛、口腔炎、腸炎、頰腫、腹潟、感冒
11,曲池,0,1,0,1,1,清熱降逆: 肩周炎、肘關節炎、肺炎、扁桃體炎、乳線炎、急性腦血管病後遺症、高血壓、 熱病、皮膚過敏、
12,肘髎,0,1,1,0,0,舒筋活絡: 肩周炎、網球肘、肘關節炎、肘臂麻木、攣急、
13,手五裏,1,1,0,1,0,散結活絡: 上肢麻痛、肋間神經痛、肺炎、扁桃體炎、胸膜炎、吐血、嗜睡、
14,臂臑,1,1,0,0,0,清熱明目: 頭痛、上肢麻痛、頸項攣急、肩周炎、頸淋巴結核、
15,肩髃,0,1,0,1,0,疏風散熱: 肩周炎、乳線炎、急性腦血管病後遺症、高血壓、風疹
16,巨骨,1,1,0,0,0,通經治絡: 下牙痛、肩關節周圍炎、頸淋巴結核、高熱痙攣、吐血、胃出血
17,天鼎,0,1,0,0,0,散結利咽: 喉炎、扁桃體炎、頸淋巴結核、甲狀腺腫、暴暗、
18,扶突,0,1,1,0,1,清咽消腫: 咽喉炎、嘶啞、甲狀腺腫、急性舌骨肌痲痺、咳喘、低血壓、暴暗、唾液分泌異常、呃逆
19,口禾髎,0,1,1,1,0,怯風清熱: 腮腺炎、鼻炎、面神經痲痺、咀嚼肌痙攣、口喁、口噤、鼻血、鼻息肉、便秘、嗅覺減退、膽道迴蟲症、
20,迎香,0,1,1,1,0,怯風通竅: 鼻炎、鼻竇炎、鼻血、鼻息肉、顏面神經麻痺、口喁、面腫、膽道迴蟲症、便秘、
