#,穴位,痛症,炎症,攣痺,血症,熱症,情志,耳症,其他
1,關冲,1,1,1,1,1,1,0,瀉熱利咽: 頭痛、喉炎、結膜炎、角膜白斑、舌強、腦血管病、熱病、小兒消化不良、
2,液門,1,1,1,0,1,0,0,利三焦止痛: 頭痛、手背痛、頸椎、咽喉炎、角膜白斑、前臂肌肉痙攣、虐疾
3,中渚,1,1,1,0,0,1,1,清熱益聰: 頭痛、喉炎、角膜白斑、肩背部筋膜炎、喉痺、眩暈、神經性耳聾
4,陽池,1,0,0,1,1,0,1,利三焦清熱: 眼痛、手腕部痛、糖尿病、流感、虐疾、風濕病、消渴、耳聾
5,外關,1,1,0,1,1,0,1,清熱消腫: 偏頭痛、牙痛、急性腰扭傷、腹痛、手指痛、上肢關節炎、鼻血、高血壓、 感冒、便秘、耳聾耳嗚、
6,支溝,1,0,1,0,1,0,1,利三焦通腑: 上肢痲痺癱瘓、熱病、暴暗、便秘、泄瀉、小便不通、經閉、乳不足、耳聾耳鳴、 嘔吐、
7,會宗,1,0,0,0,0,1,1,利三焦安神: 上肢肌膚痛、癲癇、耳聾耳鳴、
8,三陽絡,1,0,0,1,1,1,0,舒筋鎮痛:  牙痛、臂痛不舉、上肢肌膚痛、腦血管病後遺症、惡寒發熱無汗、暴暗、癲癇、失語、眼疾、內傷、
9,四瀆,1,0,1,0,1,1,1,聰耳利咽喉: 偏頭痛、咽喉痛、牙痛、上肢痲痺癱瘓、暴暗、神經衰弱、耳聾
10,天井,1,1,0,1,0,1,0,行氣散結: 心胸痛、偏頭痛、咽喉痛、外眼角紅腫、扁眼臉炎、支氣管炎、桃體炎、甲狀腺腫、腦血管病、癲癇、抑鬱症、
11,清冷淵,1,1,0,0,0,1,0,疏風寒止痛: 頭痛、眼痛、肩臂痛不舉、肘痛不屈伸、眼炎、眩暈
12,消濼,1,1,0,0,0,1,0,清熱止痛: 頭痛、牙痛、臂痛、頸項強痛、背腫、眩暈、
13,臑會,1,0,0,0,0,0,0,化痰止痛: 肩胛痛、腋下痛、目病、
14,肩髎,0,1,1,0,0,0,0,去風濕通絡: 肩關節周圍炎、胸膜炎、上肢痿痺、腦血管病後遺症、蕁麻疹、
15,天髎,1,0,0,0,1,0,0,去風濕止痛: 頸項強痛、肩臀痛、肩背痛、落枕、發熱無汗、胸滿
16,天牖,1,1,1,1,0,1,1,清頭明目: 頭痛、咽炎、視神經炎、頸背強直、鼻出血、眩暈、多夢、面腫、耳聾耳鳴、
17,翳風,1,1,1,0,0,0,1,聰耳通竅消腫: 頭痛、牙痛、腮腺炎、甲狀腺腫、下頜關節炎、頸淋巴結核、面神經痲痺、 口眼喎邪、 耳聾耳鳴、呃逆、
18,瘈脈,1,0,0,0,0,0,1,熄風解痙: 頭痛、小兒惊癇、耳聾耳鳴、嘔吐、泄瀉、視物不清、
19,顱息,1,1,0,1,1,1,1,聰耳泄熱鎮驚: 頭痛、中耳炎、視網膜出血、哮喘、嘔吐、小兒惊風、耳聾耳鳴、
20,角孫,1,1,0,1,0,0,0,散風止痛消腫: 頭痛、眼痛、腮腺炎、牙齦炎、視神經炎、視網膜出血
21,耳門,0,1,1,0,0,0,1,聰耳泄熱: 中耳炎、下頜關節炎、耳瘡流膿、口周肌肉痙攣、耳聾耳鳴、
22,耳和髎,1,1,1,0,0,0,1,祛風解痙止痛: 頭痛、頰腫、鼻炎、面肌痙攣、面癱、耳鳴、流涕
