#,穴位,痛症,炎症,攣痺,血症,眼症,情志,氣管病,其他
1,承泣,0,1,0,0,1,0,0,散風明眼止淚: 急慢性結膜炎、視神經萎縮、面神經痲痺、近視、遠視、青光眼、白內障、夜盲、流淚
2,四白,1,1,1,0,1,0,0,散風明目養顏: 頭痛、角膜炎、鼻竇炎、面神經痲痺、面肌痙攣、眩暈、近視、遠視、青光眼、夜盲、結膜瘙羍、
3,巨髎,0,1,1,1,1,0,0,熄風明目: 結膜炎、面神經痲痺、面肌痙攣、鼻血、近視、青光眼、白內障、
4,地倉,1,1,1,0,0,0,0,祛風止痛:  三义神經痛、口角炎、面神經痲痺、面肌痙攣、感冒、小兒流涎、
5,大迎,1,1,1,0,0,0,0,祛風消腫、止痛:  三义神經痛、齲齒痛、智齒冠周炎、頸淋巴結核、頰腫、面神經痲痺、眼面痙攣、面肌痙攣、
6,頰車,1,1,1,1,0,0,0,祛風清熱:  三义神經痛、智齒冠周炎、牙髓炎、腮線炎、下頜關節炎、甲狀腺腫、面神經痲痺、咬肌痙攣、腦血管病後遺症、
7,下關,1,1,1,0,0,0,0,消腫止痛、聰耳: 三义神經痛、牙痛、足跟痛、下頜關節炎、面神經痲痺、咬肌痙攣、耳聾耳鳴、
8,頭維,1,0,1,1,1,0,0,止痛鎮攣:  偏頭痛、前額神經痛、面神經痲痺、高血壓、吐嘔、流淚
9,人迎,1,1,0,1,0,1,1,利咽散結: 頭痛、咽喉炎、扁桃體炎、大頸泡、降血壓、心臟神經官能症、暈眩、哮喘、
10,水突,0,1,0,0,0,0,1,利咽平喘: 咽喉炎、支氣管炎、扁桃體炎、甲狀腺腫、哮喘、百日咳、
11,氣舍,0,1,0,0,0,0,1,清咽利肺: 咽喉炎、支氣管炎、扁桃體炎、甲狀腺腫、頸淋巴結核、哮喘、百日咳、呃逆
12,缺盆,0,1,0,0,0,0,1,止咳平喘: 氣管炎、扁桃體炎、甲狀腺腫、頸淋巴結核、胸膜炎、肩部軟組織、支氣管哮喘
13,氣戶,1,1,0,0,0,0,1,止咳平喘: 肋間神經痛、慢性支氣管炎、胸膜炎、肋軟骨炎、哮喘、呃逆
14,庫房,0,1,0,0,0,0,0,清熱化痰: 支氣管炎、支氣管擴張、胸膜炎、肺炎、肺氣腫
15,屋翳,0,1,0,0,0,0,0,化痰消腫止癢:  支氣管炎、胸膜炎、乳線炎、
16,膺窗,1,1,0,0,0,0,1,止咳消腫: 肋間神經痛、支氣管炎、胸膜炎、乳線炎、腸炎、哮喘、
17,乳中,1,0,0,0,0,0,0,調氣醒神: 目瘤、調經
18,乳根,1,1,0,0,0,0,1,通乳化瘀: 臂叢神經痛、肋間神經痛、慢性支氣管炎、胸膜炎、乳線炎、乳少、哮喘、
19,不容,1,1,0,0,0,0,0,和胃止痛: 腹痛、胃擴張、胃炎、咳嗽、哮喘、神經性嘔吐、消化不良、
20,承滿,0,1,1,0,0,0,0,和胃止嘔: 急慢性胃炎、十二指腸潰瘍、痢疾腸炎、肝炎、痢疾、胃痙攣、消化不良、
21,梁門,0,1,1,0,0,0,0,和胃調中:  胃炎、腸炎、痢疾、胃痙攣、消化不良、胃神經官能症、
22,關門,0,1,0,0,0,0,0,利水消腫: 胃炎、腸炎、胃痙攣、便秘、遺尿、水腫、腸鳴
23,太乙,0,1,0,0,0,1,0,鎮驚安神:  急性胃炎、精神病、癔病、癲癇、心煩、腹脹、腸鳴、消化不良
24,滑肉門,0,1,0,0,0,1,0,鎮驚安神、健美減肥: 舌炎、舌下線炎、慢性腸胃炎、子宮內膜炎、精神病、癲癇、月經不調
25,天樞,1,1,0,0,1,0,0,健脾胃:  痛經、急性腸胃炎、肝炎、膽囊炎、腎炎、痢疾、子宮內膜炎、便秘、小兒腹瀉
26,外陵,1,1,1,0,0,0,0,化濕止痛: 痛經、腸胃炎、闌尾炎、腸痙攣、
27,大巨,0,1,0,0,0,1,1,調腸胃、固腎氣: 腸炎、闌尾炎、膀胱炎、睪丸炎、尿道炎、失眠、遺精、早泄、陽痿、
28,水道,1,1,0,0,1,0,1,調經止痛消腫: 痛經、腎炎、膀胱炎、睪丸炎、尿道炎、盆腔炎、子宮病、卵巢病、不孕、便秘、小便不利、
29,歸來,1,1,0,0,0,0,1,調經止痛化瘀: 痛經、閉經、盆腔炎、卵巢炎、子宮內膜炎、月經不調、子宮脫垂、畏寒
30,氣衝,1,0,0,1,0,0,1,調經血止痛: 腹痛、功能性子宮出血、月經不調、腸鳴、不孕
31,髀關,1,0,1,0,0,0,0,強腰膝通經: 膝關節痛、下肢痲痺疼痛、下肢痲痺癱瘓、股內外痙攣、
32,伏兔,0,1,1,0,0,0,0,散寒化濕: 風濕性關節炎、股外側皮神經關節炎、下肢癱瘓、
33,陰市,1,1,1,1,0,0,0,散寒止痛: 腰胯痛、風濕性關節炎、臏上滑囊炎、臏骨軟化症、腦血管病後遺症、糖尿病、 水腫、膝冷、
34,梁邱,1,1,1,0,1,0,0,和胃通經: 痛經、滕關節、乳線炎、胃炎、風濕性關節炎、臏上滑囊炎、臏骨軟化症、腹瀉
35,犢鼻,1,1,1,0,0,0,0,消腫止痛: 膝部神經痛、足跟痛、膝關節炎、下肢癱瘓、
36,足三裏,0,1,0,1,1,1,1,和胃通經:慢性腸胃炎、闌尾炎、痢疾、高血壓、貧血、失眠、冠心病、便秘、耳鳴、腳氣
37,上巨虛,1,1,1,1,1,0,1,和腸胃通經: 滕關節痛、腸胃炎、闌尾炎、痢疾、胃痙攣、下肢痲痺痙攣、腦血管病後遺症、 小腸氣、便秘、消化不良、
38,條口,0,1,1,0,1,0,0,理氣和中: 肩周炎、扁桃體炎、腸炎、膝關節炎、胃痙攣、下肢癱瘓、泄瀉、
39,豐隆,1,1,0,1,1,1,0,和胃健脾: 頭痛、滕腿酸痛、急慢性支氣管炎、肩周炎、睪丸炎、高血壓、腦溢血、咳嗽痰多、失眠、便秘、泄瀉、肥胖症、
40,下巨虛,1,1,1,0,0,1,0,和腸胃通經: 肩痛不舉、急慢性腸炎、急慢性肝炎、下肢癱瘓、下肢痲痺痙攣、精神病、癲癇、
41,解溪,1,1,0,0,0,1,0,舒筋鎮驚:  頭痛、胃炎、腸炎、高血壓、咳嗽、癲癇、眩暈、胸悶、
42,衝陽,1,1,1,0,0,1,0,和胃寧神: 頭痛、牙痛、足扭傷、胃炎、風濕性關節炎、胃痙攣、眩暈、
43,陷谷,1,1,1,0,0,0,0,和胃行水清熱: 足扭傷、胃炎、腸炎、結腸炎、胸膜炎、下肢癱瘓、口眼喎邪
44,內庭,1,1,1,0,0,0,0,清熱瀉火止痛: 三义神經痛、牙痛、牙齦痛、足扭傷、扁桃體炎、急慢性腸炎、胃痙攣、面浮身腫、腳氣
45,厲兌,1,1,1,0,0,1,0,清熱蘇厥: 牙痛、鼻炎、扁桃體炎、胃炎、面神經痲痺、下肢痲痺、癔病、癲癇、嗜睡、手腳冰冷、
